Id;ZipCode;Name;Lat;Long
373;2421;Nagyvenyim;46,9667;18,85
374;2422;Mezőfalva;46,9333;18,7667
375;2423;Daruszentmiklós;46,8952;18,8452
376;2424;Előszállás;46,8333;18,8167
377;2425;Nagykarácsony;46,8667;18,7833
378;2426;Baracs;46,8833;18,8833
379;2427;Baracs;46,8833;18,8833
380;2428;Kisapostag;46,9;18,9333
381;2431;Perkáta;47,05;18,8
382;2432;Szabadegyháza;47,0667;18,6833
383;2433;Sárosd;47,05;18,65
384;2434;Hantos;47;18,7
385;2435;Nagylók;46,9667;18,6667
386;2440;Százhalombatta;47,3333;18,9333
387;2441;Százhalombatta;47,3333;18,9333
388;2442;Százhalombatta;47,3333;18,9333
389;2443;Százhalombatta;47,3333;18,9333
390;2444;Százhalombatta;47,3333;18,9333
391;2451;Ercsi;47,25;18,9
392;2453;Ercsi;47,25;18,9
393;2454;Iváncsa;47,15;18,8167
394;2455;Beloiannisz;47,1667;18,8333
395;2456;Besnyő;47,1833;18,8167
396;2457;Adony;47,1167;18,8667
397;2458;Kulcs;47,05;18,9167
398;2459;Rácalmás;47,0167;18,95
399;2461;Tárnok;47,3667;18,85
400;2462;Martonvásár;47,3167;18,7833
401;2463;Tordas;47,35;18,75
402;2464;Gyúró;47,3833;18,7333
403;2465;Ráckeresztúr;47,2667;18,8333
404;2471;Baracska;47,2833;18,7667
405;2472;Kajászó;47,3167;18,7333
406;2473;Vál;47,3667;18,6833
407;2475;Kápolnásnyék;47,2333;18,6833
408;2476;Pázmánd;47,2833;18,6667
409;2477;Vereb;47,3167;18,6167
410;2481;Velence;47,2333;18,65
411;2482;Velence;47,2333;18,65
412;2483;Gárdony;47,2;18,65
413;2484;Gárdony;47,2;18,65
414;2485;Gárdony;47,2;18,65
415;2490;Pusztaszabolcs;47,1333;18,7667
416;2500;Esztergom;47,8;18,75
417;2501;Esztergom;47,8;18,75
418;2503;Esztergom;47,8;18,75
419;2508;Esztergom;47,8;18,75
420;2509;Esztergom;47,8;18,75
421;2510;Dorog;47,7167;18,7333
422;2511;Dorog;47,7167;18,7333
423;2512;Dorog;47,7167;18,7333
424;2517;Kesztölc;47,7167;18,8
425;2518;Leányvár;47,6833;18,7833
426;2519;Piliscsév;47,6833;18,8167
427;2521;Csolnok;47,7;18,7167
428;2522;Dág;47,6667;18,7167
429;2523;Sárisáp;47,6833;18,6833
430;2524;Nagysáp;47,6833;18,6
431;2525;Bajna;47,65;18,6
432;2526;Epöl;47,65;18,65
433;2527;Máriahalom;47,6333;18,7167
434;2528;Úny;47,6333;18,7333
435;2529;Annavölgy;47,6625;18,6771
436;2531;Tokod;47,7167;18,6667
437;2532;Tokodaltáró;47,7444;18,5972
438;2533;Bajót;47,7333;18,5667
439;2534;Tát;47,75;18,65
440;2535;Mogyorósbánya;47,7333;18,6
441;2536;Nyergesújfalu;47,7667;18,55
442;2537;Nyergesújfalu;47,7667;18,55
443;2541;Lábatlan;47,75;18,5
444;2542;Lábatlan;47,75;18,5
445;2543;Süttő;47,75;18,45
446;2544;Neszmély;47,7333;18,3667
447;2545;Dunaalmás;47,7333;18,3333
448;2600;Vác;47,7833;19,1333
449;2601;Vác;47,7833;19,1333
450;2602;Vác;47,7833;19,1333
451;2603;Vác;47,7833;19,1333
452;2610;Nőtincs;47,8833;19,15
453;2611;Felsőpetény;47,8833;19,2
454;2612;Kosd;47,8;19,1833
455;2613;Rád;47,8;19,2333
456;2614;Penc;47,8;19,25
457;2615;Csővár;47,8167;19,3333
458;2616;Ősagárd;47,8667;19,2
